Year,Make,Model,Engine,Num Of Cyl.,Aspiration,Horsepower,Torque,Top Speed,Drive Type, Curb Weight 
1997,Acura,Integra Type-R,1.8 DOHC VTEC 4,4-Cyl,Natural,200 HP,130 FT LBS,145 MPH,FWD," 2,643 LBS "
1988,BMW,M3 E30,2.3 L Inline 4,4-Cyl,Natural,192 HP,170 FT LBS,140 MPH,RWD," 2,865 LBS "
2008,Honda,Civic Mugen RR,K20A Inline 4, 4-Cyl,Natural,237  HP,160 FT LBS,150 MPH,FWD," 2,733 LBS "
1990,Honda,Civic,DOHC VTEC B16A,4-Cyl,Natural,158 HP,111 FT LBS,125 MPH,FWD," 2,350 LBS "
2008,Honda,S2000 CR,2.2 DOHC VTEC I-4,4-Cyl,Natural,237 HP,162 FT LBS,156 MPH,RWD," 2,813 LBS "
1989,Mazda,RX-7 (FC),1.3 L Rotary 13B,Rotary 2,Twin Turbo,197 HP,195 FT LBS,145 MPH,RWD," 2,866 LBS "
1993,Mazda,RX-7,1.3 L Rotary,Rotary 2,Twin Turbo,225 HP,217 FT LBS,160 MPH,RWD," 3,870 LBS "
2000,Mazda,RX-7 Type RZ,1.3 L Rotary 13B,Rotary 2,Twin Turbo,276 HP,231 FT LBS,160 MPH,RWD," 2,800 LBS "
2005,Mitsubishi,Lancer Evo VIII,2.0 L 4G63  Inline 4,4-Cyl,Single Turbo,276 HP,286 FT LBS,158 MPH,AWD," 3,289 LBS "
2013,Mitsubishi,Lancer Evo X,2.0 L I4,4-Cyl,Single Turbo,291 HP,300 FT LBS,155 MPH,AWD," 3,516 LBS "
1996,Nissan,180SX Type X (S13),DOHC Inline-4,4-Cyl,Single Turbo,205 HP,202 FT LBS,146 MPH,RWD," 2,901 LBS "
1998,Nissan,Skyline 25GT (R34),2.5 L Inline 6 RB25, 6-Cyl,Natural,197 HP,188 FT LBS,140 MPH,RWD," 3,219 LBS "
2009,Nissan,370Z,DOHC V-6,6-Cyl,Natural,332 HP,270 FT LBS,160 MPH,RWD," 3,232 LBS "
2016,Nissan,GT-R,3.8 L V-6,6-Cyl,Twin Turbo,545 HP,463 FT LBS,196 MPH,AWD," 3,813 LBS "
2013,Subaru,Impreza WRX STI Hatchback,2.5 L H-4,4-Cyl,Single Turbo,305 HP,290 FT LBS,174 MPH,AWD," 3,373 LBS "
1996,Toyota,Supra RZ (MK IV),2JZ-GTE,6-Cyl,Twin Turbo,280 HP,333 FT LBS,155 MPH,RWD," 3,616 LBS "